date	published	created
20160706	4	1
20160707	4	1
20160708	13	2
20160710	16	2
20160711	21	2
20160712	21	3
20160713	23	11
20160714	37	27
20160715	43	27
20160717	43	27
20160718	46	27
20160719	46	38
20160720	52	39
20160721	52	45
20160722	52	45
20160723	54	45
20160724	57	45
20160725	57	45
20160726	57	48
20160727	58	50
20160728	58	50
20160729	59	50
20160801	59	50
20160802	59	62
20160803	59	62
20160804	59	64
20160805	64	66
20160806	64	66
20160808	64	67
20160809	64	67
20160810	64	69
20160811	64	69
20160812	64	69
20160815	66	69
20160816	68	78
20160817	71	80
20160818	71	80
20160819	71	80
20160822	72	80
20160823	72	80
20160824	72	80
20160825	72	80
20160826	72	80
20160831	77	80
20160901	77	80
20160902	79	84
20160905	79	84
20160906	85	84
20160907	97	101
20160908	109	102
20160909	109	113
20160912	127	114
20160913	128	135
20160914	128	143
20160915	128	153
20160916	128	156
20160919	134	160
20160920	135	163
20160921	136	164
20160922	136	164
20160923	139	175
20160926	139	182
20160927	158	188
20160928	164	193
20160929	164	193
20160930	165	193
20161001	165	193
20161003	165	194
20161004	170	194
20161005	177	194
20161006	192	194
20161007	199	202
20161008	199	202
20161009	199	202
20161010	205	202
20161011	208	202
20161012	226	204
20161013	232	204
20161014	258	204
20161015	258	204
20161016	258	204
20161017	258	204
20161018	258	204
20161019	264	211
20161020	264	211
20161021	264	213
20161024	264	214
20161025	264	214
20161026	264	220
20161027	264	220
